prompt,sentence,ssn,date,name
"Crafting a personalized rehabilitation protocol on 21-6-2019, the physical therapist collaborated with Roger Tan, holding SSN","Crafting a personalized rehabilitation protocol on 21-6-2019, the physical therapist collaborated with Roger Tan, holding SSN 252-85-2622, following their knee injury.",252-85-2622,21-6-2019,Roger Tan
Attendance logs show Roger Tan with,Attendance logs show Roger Tan with 252-85-2622 was absent without notice on 6-9-2020.,252-85-2622,6-9-2020,Roger Tan
Roger Tan with,Roger Tan with 252-85-2622 tax transcript from 2-8-2020 reported self-employment income.,252-85-2622,2-8-2020,Roger Tan
Insurance policy effective 21-9-2021 covers property risks for Roger Tan with,Insurance policy effective 21-9-2021 covers property risks for Roger Tan with 252-85-2622.,252-85-2622,21-9-2021,Roger Tan
The Social Security Administration's records show that Roger Tan with SSN,The Social Security Administration's records show that Roger Tan with SSN 252-85-2622 began receiving benefits on 13-10-2016.,252-85-2622,13-10-2016,Roger Tan
"Aiming to address elevated cholesterol levels, the nutritionist on 28-2-2019 offered dietary guidance to J. Wang, whose Social Security Number is","Aiming to address elevated cholesterol levels, the nutritionist on 28-2-2019 offered dietary guidance to J. Wang, whose Social Security Number is 500-35-4028.",500-35-4028,28-2-2019,J. Wang
Mandatory training scheduled 1-11-2015 includes participants like J. Wang with,Mandatory training scheduled 1-11-2015 includes participants like J. Wang with 500-35-4028.,500-35-4028,1-11-2015,J. Wang
Amended return correcting error was filed 4-5-2012 by J. Wang with,Amended return correcting error was filed 4-5-2012 by J. Wang with 500-35-4028.,500-35-4028,4-5-2012,J. Wang
Brokerage data confirms stock trade by J. Wang with,Brokerage data confirms stock trade by J. Wang with 500-35-4028 on 21-10-2012.,500-35-4028,21-10-2012,J. Wang
The birth certificate issued on 11-8-2020 by the state registrar confirms the name and parents of J. Wang,The birth certificate issued on 11-8-2020 by the state registrar confirms the name and parents of J. Wang 500-35-4028.,500-35-4028,11-8-2020,J. Wang
"Convening at the mental health facility on 22-3-2017, Fatoum Baye, with Social Security Number","Convening at the mental health facility on 22-3-2017, Fatoum Baye, with Social Security Number 611-45-9378, took part in a group therapy session focused on stress management strategies.",611-45-9378,22-3-2017,Fatoum Baye
"Updated 15-7-2011, employee benefits cover Fatoum Baye identified by","Updated 15-7-2011, employee benefits cover Fatoum Baye identified by 611-45-9378.",611-45-9378,15-7-2011,Fatoum Baye
Late payment penalty possible for Fatoum Baye with,Late payment penalty possible for Fatoum Baye with 611-45-9378 per IRS letter 22-6-2017.,611-45-9378,22-6-2017,Fatoum Baye
Identity threat detected for Fatoum Baye with,Identity threat detected for Fatoum Baye with 611-45-9378 based on notification 1-8-2014.,611-45-9378,1-8-2014,Fatoum Baye
The public records search conducted on 15-4-2019 revealed a prior address for Fatoum Baye with ID number,The public records search conducted on 15-4-2019 revealed a prior address for Fatoum Baye with ID number 611-45-9378.,611-45-9378,15-4-2019,Fatoum Baye
"During a prenatal visit on 2-11-2020, the obstetrician monitored the progression of Aarav Patel's pregnancy, whose Social Security Number is","During a prenatal visit on 2-11-2020, the obstetrician monitored the progression of Aarav Patel's pregnancy, whose Social Security Number is 247-92-2762, offering advice for a healthy term.",247-92-2762,2-11-2020,Aarav Patel
Background check pending for applicant Aarav Patel with,Background check pending for applicant Aarav Patel with 247-92-2762 as of 2-10-2018.,247-92-2762,2-10-2018,Aarav Patel
Preparer records show EIC claim by Aarav Patel with,Preparer records show EIC claim by Aarav Patel with 247-92-2762 on 9-9-2014.,247-92-2762,9-9-2014,Aarav Patel
Retirement account statement 1-1-2017 lists balance for Aarav Patel with,Retirement account statement 1-1-2017 lists balance for Aarav Patel with 247-92-2762.,247-92-2762,1-1-2017,Aarav Patel
"The jury duty summons dated 8-11-2018 requires Aarav Patel, resident with SSN","The jury duty summons dated 8-11-2018 requires Aarav Patel, resident with SSN 247-92-2762, to report for service.",247-92-2762,8-11-2018,Aarav Patel
"Evaluating a foot condition on 12-5-2011, the podiatrist examined Ahmad Madi, bearer of SSN","Evaluating a foot condition on 12-5-2011, the podiatrist examined Ahmad Madi, bearer of SSN 141-34-8970, and recommended suitable treatment modalities.",141-34-8970,12-5-2011,Ahmad Madi
Exit interview feedback from Ahmad Madi with,Exit interview feedback from Ahmad Madi with 141-34-8970 captured on 6-3-2021.,141-34-8970,6-3-2021,Ahmad Madi
State refund to Ahmad Madi with,State refund to Ahmad Madi with 141-34-8970 issued 19-12-2011 requires further review.,141-34-8970,19-12-2011,Ahmad Madi
Personal loan requested by Ahmad Madi with,Personal loan requested by Ahmad Madi with 141-34-8970 on 27-12-2014 needs approval.,141-34-8970,27-12-2014,Ahmad Madi
The marriage license application filed on 17-1-2020 by Ahmad Madi,The marriage license application filed on 17-1-2020 by Ahmad Madi 141-34-8970 is awaiting approval from the county clerk's office.,141-34-8970,17-1-2020,Ahmad Madi
"Conducting a comprehensive eye examination on 8-3-2017 for Daniel Liu, whose Social Security Number is","Conducting a comprehensive eye examination on 8-3-2017 for Daniel Liu, whose Social Security Number is 429-66-8982, the ophthalmologist prescribed corrective lenses.",429-66-8982,8-3-2017,Daniel Liu
Long-term disability eligibility outlined in policy updated 23-1-2014 impacts Daniel Liu with,Long-term disability eligibility outlined in policy updated 23-1-2014 impacts Daniel Liu with 429-66-8982.,429-66-8982,23-1-2014,Daniel Liu
"According to preparer, Daniel Liu with","According to preparer, Daniel Liu with 429-66-8982 had capital gains in 16-6-2014.",429-66-8982,16-6-2014,Daniel Liu
Bank records note Daniel Liu with,Bank records note Daniel Liu with 429-66-8982 reported lost debit card on 25-8-2015.,429-66-8982,25-8-2015,Daniel Liu
The firearms purchase record from 12-9-2011 links the transaction to Daniel Liu with buyer ID,The firearms purchase record from 12-9-2011 links the transaction to Daniel Liu with buyer ID 429-66-8982.,429-66-8982,12-9-2011,Daniel Liu
"In attendance at the dentist's office on 16-10-2019, Anna Brown, holding Social Security Number","In attendance at the dentist's office on 16-10-2019, Anna Brown, holding Social Security Number 754-68-4993, received a routine cleaning and oral health evaluation.",754-68-4993,16-10-2019,Anna Brown
New referral program starting 23-1-2016 incentivizes employees such as Anna Brown with,New referral program starting 23-1-2016 incentivizes employees such as Anna Brown with 754-68-4993.,754-68-4993,23-1-2016,Anna Brown
Clarification requested from Anna Brown with,Clarification requested from Anna Brown with 754-68-4993 on deductions per IRS notice 22-5-2019.,754-68-4993,22-5-2019,Anna Brown
Processing ongoing for vehicle claim filed 14-7-2019 by Anna Brown with,Processing ongoing for vehicle claim filed 14-7-2019 by Anna Brown with 754-68-4993.,754-68-4993,14-7-2019,Anna Brown
The professional license renewal notice sent on 9-7-2014 to Anna Brown,The professional license renewal notice sent on 9-7-2014 to Anna Brown 754-68-4993 is due for submission.,754-68-4993,9-7-2014,Anna Brown
"At a follow-up appointment on 20-2-2016, the oncologist discussed the treatment plan with Celestemia, whose Social Security Number is","At a follow-up appointment on 20-2-2016, the oncologist discussed the treatment plan with Celestemia, whose Social Security Number is 982-57-9007, addressing any concerns they might have.",982-57-9007,20-2-2016,Celestemia
Job posting for role Celestemia with,Job posting for role Celestemia with 982-57-9007 applied for on 18-3-2016 has been revised.,982-57-9007,18-3-2016,Celestemia
Celestemia with,Celestemia with 982-57-9007 return filed 7-10-2020 included rental income.,982-57-9007,7-10-2020,Celestemia
Notes from 3-8-2010 recommend rebalancing for client Celestemia with,Notes from 3-8-2010 recommend rebalancing for client Celestemia with 982-57-9007.,982-57-9007,3-8-2010,Celestemia
The workers' compensation claim filed on 13-12-2021 by Celestemia with employee ID,The workers' compensation claim filed on 13-12-2021 by Celestemia with employee ID 982-57-9007 is currently under review.,982-57-9007,13-12-2021,Celestemia
"Imparting knowledge on preventive measures for a healthy lifestyle on 12-7-2016, the nurse practitioner counseled Juan Lopez, bearer of SSN","Imparting knowledge on preventive measures for a healthy lifestyle on 12-7-2016, the nurse practitioner counseled Juan Lopez, bearer of SSN 197-12-3983.",197-12-3983,12-7-2016,Juan Lopez
Employee Juan Lopez with,Employee Juan Lopez with 197-12-3983 received recognition for contributions on 17-8-2016.,197-12-3983,17-8-2016,Juan Lopez
25-6-2013 transcript reflects retirement plan contributions by Juan Lopez with,25-6-2013 transcript reflects retirement plan contributions by Juan Lopez with 197-12-3983.,197-12-3983,25-6-2013,Juan Lopez
Fraud alert sent 1-2-2022 to Juan Lopez with,Fraud alert sent 1-2-2022 to Juan Lopez with 197-12-3983 about suspicious activity.,197-12-3983,1-2-2022,Juan Lopez
"The building permit application submitted on 12-10-2022 by Juan Lopez, property owner with ID","The building permit application submitted on 12-10-2022 by Juan Lopez, property owner with ID 197-12-3983, requires additional documentation.",197-12-3983,12-10-2022,Juan Lopez
"To identify potential allergens on 27-2-2019, the allergist conducted skin tests on Kevin Morris, whose Social Security Number is","To identify potential allergens on 27-2-2019, the allergist conducted skin tests on Kevin Morris, whose Social Security Number is 993-75-9502, developing a treatment strategy.",993-75-9502,27-2-2019,Kevin Morris
Ongoing investigation initiated 3-2-2016 involves employee Kevin Morris with,Ongoing investigation initiated 3-2-2016 involves employee Kevin Morris with 993-75-9502.,993-75-9502,3-2-2016,Kevin Morris
Records indicate Child Tax Credit claimed by Kevin Morris with,Records indicate Child Tax Credit claimed by Kevin Morris with 993-75-9502 for 14-7-2020.,993-75-9502,14-7-2020,Kevin Morris
Pre-approval valid per letter 21-1-2013 for homebuyer Kevin Morris with,Pre-approval valid per letter 21-1-2013 for homebuyer Kevin Morris with 993-75-9502.,993-75-9502,21-1-2013,Kevin Morris
The military service record for Kevin Morris,The military service record for Kevin Morris 993-75-9502 indicates their deployment overseas beginning on 16-9-2021.,993-75-9502,16-9-2021,Kevin Morris
"Consulting with an orthopedic specialist on 5-4-2016 regarding chronic back pain, B. Jones, with Social Security Number","Consulting with an orthopedic specialist on 5-4-2016 regarding chronic back pain, B. Jones, with Social Security Number 539-19-8069, sought medical expertise.",539-19-8069,5-4-2016,B. Jones
Parental leave policy revised 3-1-2010 extends benefits to B. Jones with,Parental leave policy revised 3-1-2010 extends benefits to B. Jones with 539-19-8069.,539-19-8069,3-1-2010,B. Jones
State return from 18-8-2022 showed gambling winnings for B. Jones with,State return from 18-8-2022 showed gambling winnings for B. Jones with 539-19-8069.,539-19-8069,18-8-2022,B. Jones
Funds transfer initiated 5-2-2013 for account of B. Jones with,Funds transfer initiated 5-2-2013 for account of B. Jones with 539-19-8069.,539-19-8069,5-2-2013,B. Jones
The passport application submitted on 21-1-2018 by B. Jones with Social Security Number,The passport application submitted on 21-1-2018 by B. Jones with Social Security Number 539-19-8069 is awaiting processing.,539-19-8069,21-1-2018,B. Jones
"Assessing growth and development during a routine check-up on 27-12-2013, the pediatrician evaluated Jacob Lee, whose Social Security Number is","Assessing growth and development during a routine check-up on 27-12-2013, the pediatrician evaluated Jacob Lee, whose Social Security Number is 684-24-9056.",684-24-9056,27-12-2013,Jacob Lee
Career plan discussed 5-5-2019 maps growth trajectory for Jacob Lee with,Career plan discussed 5-5-2019 maps growth trajectory for Jacob Lee with 684-24-9056.,684-24-9056,5-5-2019,Jacob Lee
Potential refund flagged for Jacob Lee with,Potential refund flagged for Jacob Lee with 684-24-9056 in IRS letter dated 6-12-2020.,684-24-9056,6-12-2020,Jacob Lee
Auto loan statement 14-8-2016 shows amounts due by Jacob Lee with,Auto loan statement 14-8-2016 shows amounts due by Jacob Lee with 684-24-9056.,684-24-9056,14-8-2016,Jacob Lee
The voter registration card issued on 13-11-2017 to Jacob Lee,The voter registration card issued on 13-11-2017 to Jacob Lee 684-24-9056 includes their assigned polling location.,684-24-9056,13-11-2017,Jacob Lee
"Reviewing the results of a recent stress test on 8-11-2013, the cardiologist discussed potential treatment options with Adrien Dubois, bearer of SSN","Reviewing the results of a recent stress test on 8-11-2013, the cardiologist discussed potential treatment options with Adrien Dubois, bearer of SSN 325-34-8878.",325-34-8878,8-11-2013,Adrien Dubois
Anonymous survey responses from 21-6-2013 include feedback by Adrien Dubois with,Anonymous survey responses from 21-6-2013 include feedback by Adrien Dubois with 325-34-8878.,325-34-8878,21-6-2013,Adrien Dubois
Tax preparer data confirms Adrien Dubois with,Tax preparer data confirms Adrien Dubois with 325-34-8878 filed extension 11-10-2012.,325-34-8878,11-10-2012,Adrien Dubois
Policy renewal required for Adrien Dubois with,Policy renewal required for Adrien Dubois with 325-34-8878 based on notice mailed 26-9-2011.,325-34-8878,26-9-2011,Adrien Dubois
The real estate transaction records from 26-1-2018 show Adrien Dubois with ID,The real estate transaction records from 26-1-2018 show Adrien Dubois with ID 325-34-8878 as the new property owner.,325-34-8878,26-1-2018,Adrien Dubois
